ENGLISH POINTER,British and Irish Pointers and Setters,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/001g07.jpg
ENGLISH SETTER,British and Irish Pointers and Setters,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/002g07.jpg
KERRY BLUE TERRIER,Large and medium sized Terriers,IRELAND,
CAIRN TERRIER,Small sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/004g03.jpg
ENGLISH COCKER SPANIEL,Flushing Dogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/005g08.jpg
GORDON SETTER,British and Irish Pointers and Setters,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/006g07.jpg
AIREDALE TERRIER,Large and medium sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/007g03.jpg
AUSTRALIAN TERRIER,Small sized Terriers,AUSTRALIA,http://www.fci.be/Nomenclature/Illustrations/008g03.jpg
BEDLINGTON TERRIER,Large and medium sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/009g03.jpg
BORDER TERRIER,Large and medium sized Terriers,GREAT BRITAIN,
BULL TERRIER,Bull type Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/011g03.jpg
FOX TERRIER (SMOOTH),Large and medium sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/012g03.jpg
ENGLISH TOY TERRIER (BLACK &TAN),Toy Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/013g03.jpg
SWEDISH VALLHUND,Nordic Watchdogs and Herders,SWEDEN,http://www.fci.be/Nomenclature/Illustrations/014g05.jpg
BELGIAN SHEPHERD DOG,Sheepdogs,BELGIUM,
OLD ENGLISH SHEEPDOG,Sheepdogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/016g01.jpg
GRIFFON NIVERNAIS,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/017g06.jpg
BRIQUET GRIFFON VENDEEN,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/019g06.jpg
ARIEGEOIS,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/020g06.jpg
GASCON SAINTONGEOIS,Scent hounds,FRANCE,
GREAT GASCONY BLUE,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/022g06.jpg
POITEVIN,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/024g06.jpg
BILLY,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/025g06.jpg
